0       10.7	0	0	0	0	24	21.3	0	0	0	0	0	0	0	15.6	6.8	0	0	0	0	0	0	0
14.9	0	0	0	0	0	15.1	0	0	0	0	0	0	0	5.3	0	7.6	0	0	0	13.8	0	4.6	0
0	0	0	0	0	7.3	0	0	4.3	4.9	8.8	0	0	0	0	0	0	0	0	0	11.3	0	0	7.5
0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	19.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	6.7	0	0	0	0	0	6.6	0	0	0	0	0	0	0	0	0	0	0	4.6	8.7	0	0
28.9	15	0	0	19.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.4	0	0	0
22.5	0	0	32.7	0	0	0	0	0	0	0	0	0	0	0	6.6	0	0	0	0	0	0	0	0
0	0	4.3	0	0	5.9	0	0	0	3.8	0	2.4	0	0	0	0	0	0	5	0	0	4.4	0	0
0	0	6.9	0	0	0	0	0	4.3	0	7.5	2.7	2.7	5.2	0	0	0	0	5	0	0	0	0	0
0	0	9.9	0	0	0	0	0	0	7.6	0	0	7.9	0	0	10.9	0	14.3	0	0	0	0	0	0
0	0	0	0	0	0	0	0	2	2.8	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2.6	7.8	0	0	5.9	0	5	12.4	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	5.7	0	0	5.7	0	4.1	0	7.3	0	2.9	2.2	0	0	0	0
0	4.9	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	4.4	0	0	3.1	0	0	6.8	0
20.9	0	0	0	0	0	0	5.6	0	0	12.4	0	4.7	0	0	0	15.6	0	0	0	0	0	0	0
12.5	7.3	0	0	0	0	0	0	0	0	0	0	11.7	7.5	4.4	15	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	16.9	0	0	0	0	0	0	0	0	0	0	0	0	9.2
0	0	0	0	0	0	0	0	5.4	5.1	0	3.3	0	2.9	0	0	0	0	0	3.1	0	5.6	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	3.2	0	0	0	3.4	0	0	6.1	5.4	0
0	0	13	0	0	6.7	7.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.1	11.3	14.3
0	0	0	0	0	8.4	0	0	3	0	0	0	0	0	0	0	0	0	4.6	6.1	10.6	0	4.6	0
0	4.6	0	0	0	0	0	0	0	0	0	0	0	0	6.4	0	0	0	0	5.2	9.7	3.8	0	0
0	0	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.2	0	0	14.8	0	0	0
